Spizellomyces_punctatus	#cf003a
Bolinopsis_infundibulum	#1dba11
Rossella_fibulata	#641bbf
Sympagella_nux	#641bbf
Aphrocallistes_vastus	#641bbf
Hyalonema_populiferum	#641bbf
Mnemiopsis_leidyi	#1dba11
Tethya_wilhelma	#641bbf
Crella_elegans	#641bbf
Sycon_ciliatum	#641bbf
Sycon_coactum	#641bbf
Monosiga_ovata	#9a601b
Latrunculia_apicalis	#641bbf
Kirkpatrickia_variolosa	#641bbf
Ephydatia_muelleri	#641bbf
Spongilla_alba	#641bbf
Petrosia_ficiformis	#641bbf
Amphimedon_queenslandica	#641bbf
Salpingoeca_rosetta	#9a601b
Chondrilla_nucula	#641bbf
Oscarella_carmela	#641bbf
Corticium_candelabrum	#641bbf
Pseudospongosorites_suberitoides	#641bbf
Mertensiidae_sp	#1dba11
Euplokamis_dunlapae	#1dba11
Pleurobrachia_bachei	#1dba11
Pleurobrachia_atlantica	#1dba11
Beroe_abyssicola	#1dba11
Vallicula_sp	#1dba11
Dryodora_glandiformis	#1dba11
Ircinia_fasciculata	#641bbf
Coeloplana_astericola	#1dba11
