Program,Homo
Version,1.3
Input file,Dataset16_tree_order.aln
Data,Amino acids
Sequences,70


Seq. 1.,Seq. 2.,Chi-square,df,p,d_EMS,d_EFS,d_AMS,d_AFS,Sites

Allomyces_macrogynus,Spizellomyces_punctatus,496.532591,183,9.201808e-31,2.489204e-02,1.137102e-02,5.150669e-01,1.019041e+01,3843
Allomyces_macrogynus,Mortierella_verticillata,639.836300,185,2.021370e-51,2.837098e-02,1.425477e-02,6.265758e-01,1.017353e+01,4197
Allomyces_macrogynus,Rhizopus_oryzae,726.398894,185,3.396338e-65,3.210886e-02,1.556816e-02,7.097398e-01,1.307957e+01,3474
Allomyces_macrogynus,Ministeria_vibrans,314.424678,188,2.057663e-08,1.699353e-02,8.954659e-03,4.881929e-01,9.574707e+00,3547
Allomyces_macrogynus,Capsaspora_owczarzaki,358.341267,189,1.360121e-12,1.826209e-02,9.201475e-03,4.453235e-01,9.531564e+00,4703
Allomyces_macrogynus,Sphaeroforma_arctica,378.560336,187,4.341880e-15,2.668627e-02,1.272404e-02,6.278759e-01,1.218416e+01,2382
Allomyces_macrogynus,Amoebidium_parasiticum,463.256020,190,7.641932e-25,2.244582e-02,1.042926e-02,5.260476e-01,1.090995e+01,4217
Allomyces_macrogynus,Salpingoeca_rosetta,388.272474,187,3.439248e-16,2.007847e-02,1.000670e-02,5.372588e-01,9.262882e+00,4771
Allomyces_macrogynus,Monosiga_ovata,233.002461,178,3.529361e-03,1.586413e-02,1.227617e-02,5.176794e-01,1.404608e+01,1411
Allomyces_macrogynus,Euplokamis_dunlapae,462.172305,187,2.699228e-25,3.262867e-02,1.580951e-02,8.168483e-01,1.284351e+01,2421
Allomyces_macrogynus,Vallicula_sp,509.533235,189,3.009013e-31,3.831088e-02,1.659730e-02,8.638896e-01,1.282723e+01,2404
Allomyces_macrogynus,Coeloplana_astericola,613.254225,189,2.750933e-46,4.243632e-02,1.889934e-02,9.780193e-01,1.334771e+01,2460
Allomyces_macrogynus,Pleurobrachia_bachei,480.034629,189,3.004398e-27,3.863529e-02,1.634655e-02,9.418943e-01,1.127728e+01,2472
Allomyces_macrogynus,Pleurobrachia_atlantica,663.052490,189,6.058386e-54,3.754083e-02,1.601439e-02,8.594109e-01,1.218599e+01,3704
Allomyces_macrogynus,Dryodora_glandiformis,529.693319,189,4.645908e-34,3.532430e-02,1.567999e-02,8.038289e-01,1.069085e+01,3084
Allomyces_macrogynus,Bolinopsis_infundibulum,363.144342,187,2.149453e-13,3.042276e-02,1.405791e-02,7.390206e-01,1.293213e+01,2111
Allomyces_macrogynus,Mertensiidae_sp,533.909612,190,1.990394e-34,3.971328e-02,1.861914e-02,9.091983e-01,1.269842e+01,2459
Allomyces_macrogynus,Mnemiopsis_leidyi,481.165433,188,1.321341e-27,3.345442e-02,1.523493e-02,7.983173e-01,1.132425e+01,2901
Allomyces_macrogynus,Beroe_abyssicola,757.828252,190,8.118464e-69,3.985146e-02,1.706958e-02,9.390288e-01,1.160294e+01,4056
Allomyces_macrogynus,Sycon_coactum,478.197122,190,8.427411e-27,2.760108e-02,1.165701e-02,7.004890e-01,1.125493e+01,3658
Allomyces_macrogynus,Sycon_ciliatum,555.185298,190,1.842381e-37,2.814300e-02,1.181366e-02,7.355101e-01,1.016992e+01,4547
Allomyces_macrogynus,Corticium_candelabrum,378.748678,186,2.879959e-15,3.060678e-02,1.418664e-02,7.130893e-01,1.278124e+01,2356
Allomyces_macrogynus,Oscarella_carmela,626.486644,189,2.685383e-48,3.166820e-02,1.425476e-02,7.313722e-01,9.413277e+00,4650
Allomyces_macrogynus,Hyalonema_populiferum,515.674897,184,3.249283e-33,4.101165e-02,2.037106e-02,9.941534e-01,1.542787e+01,2056
Allomyces_macrogynus,Aphrocallistes_vastus,800.247003,190,8.209236e-76,4.003100e-02,1.692129e-02,9.363382e-01,1.126645e+01,4474
Allomyces_macrogynus,Rossella_fibulata,636.355004,187,2.421990e-50,3.716463e-02,1.582060e-02,8.843189e-01,1.250324e+01,3374
Allomyces_macrogynus,Sympagella_nux,849.387479,190,4.665379e-84,4.068465e-02,1.711433e-02,9.535047e-01,1.233952e+01,4227
